GEOID,Census Tract,County,ttl_nrE,ttl_nrM,undrg_E,undrg_M,grd_ppE,grd_ppM,totalenrol,totalenr_1,difference
24031700310,Census Tract 7003.10, Montgomery County,1439,346,413,165,106,87,519,682,-163
24047950000,Census Tract 9500, Worcester County,131,103,63,61,0,12,63,12,51
24005408601,Census Tract 4086.01, Baltimore County,1067,133,156,63,44,37,200,304,-104
24005490703,Census Tract 4907.03, Baltimore County,829,207,144,78,129,88,273,361,-88
24033806602,Census Tract 8066.02, Prince George's County,1380,289,96,77,82,59,178,615,-437
24510260202,Census Tract 2602.02, Baltimore city,1298,382,184,126,30,52,214,397,-183
24005430104,Census Tract 4301.04, Baltimore County,416,124,106,51,28,34,134,151,-17
24510150100,Census Tract 1501, Baltimore city,431,182,57,55,9,16,66,106,-40
24510250303,Census Tract 2503.03, Baltimore city,389,144,44,29,0,12,44,34,10
24510180100,Census Tract 1801, Baltimore city,740,213,113,74,0,12,113,113,0
24031701422,Census Tract 7014.22, Montgomery County,1114,212,263,111,102,64,365,403,-38
24043000400,Census Tract 4, Washington County,299,76,81,44,0,12,81,103,-22
24510020300,Census Tract 203, Baltimore city,377,140,81,55,188,92,269,414,-145
24005491000,Census Tract 4910, Baltimore County,707,83,45,28,33,21,78,53,25
24510250402,Census Tract 2504.02, Baltimore city,1358,307,114,89,5,9,119,348,-229
24003750203,Census Tract 7502.03, Anne Arundel County,350,77,52,36,0,12,52,92,-40
24031701218,Census Tract 7012.18, Montgomery County,402,139,74,53,51,32,125,184,-59
24005404102,Census Tract 4041.02, Baltimore County,1055,276,89,78,53,64,142,503,-361
24005452500,Census Tract 4525, Baltimore County,1110,255,253,140,33,30,286,178,108
24510150600,Census Tract 1506, Baltimore city,761,358,242,171,39,40,281,213,68
24033806708,Census Tract 8067.08, Prince George's County,1044,238,113,80,187,103,300,578,-278
24031703302,Census Tract 7033.02, Montgomery County,1000,203,256,131,21,25,277,290,-13
24005408800,Census Tract 4088, Baltimore County,681,138,51,37,66,46,117,202,-85
24005450400,Census Tract 4504, Baltimore County,445,88,73,37,9,13,82,92,-10
24510260102,Census Tract 2601.02, Baltimore city,1221,263,188,121,81,81,269,445,-176
24033802107,Census Tract 8021.07, Prince George's County,1028,196,148,71,45,33,193,208,-15
24510151100,Census Tract 1511, Baltimore city,2062,742,686,301,49,56,735,394,341
24031701210,Census Tract 7012.10, Montgomery County,1126,145,138,89,17,17,155,157,-2
24510270703,Census Tract 2707.03, Baltimore city,573,206,132,121,46,35,178,151,27
24510130804,Census Tract 1308.04, Baltimore city,353,103,66,35,86,37,152,205,-53
24510250102,Census Tract 2501.02, Baltimore city,682,225,169,119,90,85,259,434,-175
24031705901,Census Tract 7059.01, Montgomery County,1220,213,58,37,35,27,93,189,-96
24510120100,Census Tract 1201, Baltimore city,1512,463,516,236,588,262,1104,1038,66
24510250205,Census Tract 2502.05, Baltimore city,1125,368,73,65,43,42,116,263,-147
24033803402,Census Tract 8034.02, Prince George's County,1078,308,196,95,18,20,214,235,-21
24510151000,Census Tract 1510, Baltimore city,851,269,181,108,92,97,273,187,86
24005420200,Census Tract 4202, Baltimore County,566,152,121,72,25,24,146,46,100
24031704805,Census Tract 7048.05, Montgomery County,357,101,53,31,109,56,162,135,27
24510180300,Census Tract 1803, Baltimore city,362,80,51,39,152,47,203,312,-109
24033800520,Census Tract 8005.20, Prince George's County,516,180,171,62,78,53,249,83,166
24005400900,Census Tract 4009, Baltimore County,479,114,27,21,15,18,42,125,-83
24510170200,Census Tract 1702, Baltimore city,930,271,77,55,7,11,84,191,-107
24510140300,Census Tract 1403, Baltimore city,441,187,109,63,17,14,126,162,-36
24027605504,Census Tract 6055.04, Howard County,892,110,183,88,75,46,258,152,106
24033800210,Census Tract 8002.10, Prince George's County,800,235,153,104,77,53,230,285,-55
24017850905,Census Tract 8509.05, Charles County,1287,192,387,141,126,62,513,467,46
24031700706,Census Tract 7007.06, Montgomery County,1082,160,121,62,108,72,229,197,32
24510270101,Census Tract 2701.01, Baltimore city,468,163,14,19,87,81,101,130,-29
24031701005,Census Tract 7010.05, Montgomery County,708,129,96,50,35,29,131,344,-213
24019970900,Census Tract 9709, Dorchester County,135,46,23,21,0,12,23,51,-28
24031701001,Census Tract 7010.01, Montgomery County,1105,325,297,174,7,10,304,397,-93
24510080400,Census Tract 804, Baltimore city,206,102,12,17,12,17,24,10,14
24510260303,Census Tract 2603.03, Baltimore city,213,87,45,39,7,10,52,19,33
24031702800,Census Tract 7028, Montgomery County,1159,218,228,110,259,154,487,351,136
24033801211,Census Tract 8012.11, Prince George's County,750,315,85,53,45,52,130,282,-152
24033801307,Census Tract 8013.07, Prince George's County,641,144,147,74,67,39,214,291,-77
24033803001,Census Tract 8030.01, Prince George's County,471,181,126,66,60,51,186,177,9
24005411408,Census Tract 4114.08, Baltimore County,877,175,142,76,132,65,274,338,-64
24005980100,Census Tract 9801, Baltimore County,0,12,0,12,0,12,0,0,0
24510280402,Census Tract 2804.02, Baltimore city,367,123,77,56,14,15,91,189,-98
24031700828,Census Tract 7008.28, Montgomery County,584,75,101,44,36,23,137,162,-25
24005420800,Census Tract 4208, Baltimore County,601,178,78,49,25,28,103,267,-164
24003730204,Census Tract 7302.04, Anne Arundel County,1860,331,199,90,52,44,251,373,-122
24047950600,Census Tract 9506, Worcester County,460,96,90,76,18,20,108,174,-66
24027606607,Census Tract 6066.07, Howard County,1372,230,210,98,119,67,329,317,12
24510020100,Census Tract 201, Baltimore city,218,54,37,23,94,46,131,256,-125
24001001402,Census Tract 14.02, Allegany County,234,57,36,25,0,12,36,60,-24
24005490200,Census Tract 4902, Baltimore County,711,152,113,51,25,31,138,259,-121
24033805906,Census Tract 8059.06, Prince George's County,974,222,156,90,80,55,236,149,87
24510271101,Census Tract 2711.01, Baltimore city,540,138,219,123,90,48,309,213,96
24510160100,Census Tract 1601, Baltimore city,515,241,40,63,13,21,53,76,-23
24033806501,Census Tract 8065.01, Prince George's County,1434,250,180,92,61,48,241,169,72
24510230100,Census Tract 2301, Baltimore city,416,130,38,34,114,64,152,163,-11
24031704503,Census Tract 7045.03, Montgomery County,1216,159,114,59,22,27,136,219,-83
24033805908,Census Tract 8059.08, Prince George's County,573,139,150,62,76,41,226,453,-227
24047950400,Census Tract 9504, Worcester County,705,113,93,55,20,22,113,94,19
24047980000,Census Tract 9800, Worcester County,0,12,0,12,0,12,0,0,0
24005490603,Census Tract 4906.03, Baltimore County,609,93,127,50,19,22,146,200,-54
24031705602,Census Tract 7056.02, Montgomery County,763,219,134,109,153,86,287,469,-182
24033806900,Census Tract 8069, Prince George's County,1223,329,209,130,148,94,357,814,-457
24027606704,Census Tract 6067.04, Howard County,1771,282,283,158,271,108,554,670,-116
24033801408,Census Tract 8014.08, Prince George's County,704,182,135,90,43,63,178,147,31
24510020200,Census Tract 202, Baltimore city,392,90,63,30,206,60,269,327,-58
24005400200,Census Tract 4002, Baltimore County,585,162,230,85,64,55,294,245,49
24031700835,Census Tract 7008.35, Montgomery County,1438,226,454,118,179,80,633,365,268
24033801209,Census Tract 8012.09, Prince George's County,1355,270,385,113,60,57,445,480,-35
24510100300,Census Tract 1003, Baltimore city,357,205,83,79,0,12,83,37,46
24510030100,Census Tract 301, Baltimore city,547,190,28,31,8,13,36,204,-168
24033802404,Census Tract 8024.04, Prince George's County,1202,324,129,80,25,30,154,200,-46
24033806711,Census Tract 8067.11, Prince George's County,1569,391,340,163,167,93,507,331,176
24031701313,Census Tract 7013.13, Montgomery County,975,131,280,89,58,42,338,274,64
24005402404,Census Tract 4024.04, Baltimore County,1225,290,149,91,99,105,248,579,-331
24033801308,Census Tract 8013.08, Prince George's County,946,270,347,158,119,89,466,330,136
24031700724,Census Tract 7007.24, Montgomery County,1029,237,187,95,80,68,267,332,-65
24510120201,Census Tract 1202.01, Baltimore city,704,178,323,143,133,46,456,295,161
24510270501,Census Tract 2705.01, Baltimore city,807,195,115,90,78,58,193,181,12
24510270902,Census Tract 2709.02, Baltimore city,2148,452,1445,349,103,63,1548,1958,-410
24031703601,Census Tract 7036.01, Montgomery County,1093,175,215,102,105,70,320,292,28
24027601203,Census Tract 6012.03, Howard County,1572,294,139,72,249,106,388,333,55
24027605401,Census Tract 6054.01, Howard County,1361,290,196,139,99,66,295,476,-181
24510271503,Census Tract 2715.03, Baltimore city,64,25,20,18,4,7,24,43,-19
24510280500,Census Tract 2805, Baltimore city,643,116,68,77,0,12,68,267,-199
24510070300,Census Tract 703, Baltimore city,173,98,36,33,0,12,36,38,-2
24021751001,Census Tract 7510.01, Frederick County,294,70,93,40,9,14,102,121,-19
24510271802,Census Tract 2718.02, Baltimore city,420,142,36,31,17,26,53,151,-98
24510010200,Census Tract 102, Baltimore city,444,120,68,38,181,71,249,250,-1
24031701420,Census Tract 7014.20, Montgomery County,1198,294,463,152,40,41,503,306,197
24003731004,Census Tract 7310.04, Anne Arundel County,1103,165,82,59,169,82,251,314,-63
24005408602,Census Tract 4086.02, Baltimore County,479,63,64,26,36,20,100,104,-4
24005420702,Census Tract 4207.02, Baltimore County,550,145,139,60,18,16,157,91,66
24005490602,Census Tract 4906.02, Baltimore County,906,120,232,98,66,40,298,446,-148
24003750202,Census Tract 7502.02, Anne Arundel County,852,188,254,129,28,32,282,143,139
24510130100,Census Tract 1301, Baltimore city,640,218,226,112,42,49,268,233,35
24031701216,Census Tract 7012.16, Montgomery County,557,172,50,58,207,120,257,248,9
24005401503,Census Tract 4015.03, Baltimore County,1348,198,256,111,66,62,322,405,-83
24045010102,Census Tract 101.02, Wicomico County,801,245,270,133,81,60,351,410,-59
24013507601,Census Tract 5076.01, Carroll County,1115,189,159,57,88,68,247,562,-315
24005491900,Census Tract 4919, Baltimore County,306,84,57,39,12,15,69,121,-52
24033803526,Census Tract 8035.26, Prince George's County,567,187,146,111,51,40,197,159,38
24031701602,Census Tract 7016.02, Montgomery County,2482,352,371,140,101,78,472,611,-139
24005408704,Census Tract 4087.04, Baltimore County,1416,235,215,103,119,81,334,444,-110
24005450501,Census Tract 4505.01, Baltimore County,817,233,283,120,0,12,283,146,137
24005440300,Census Tract 4403, Baltimore County,509,131,89,55,40,27,129,218,-89
24027605601,Census Tract 6056.01, Howard County,2173,529,445,180,318,144,763,932,-169
24510270801,Census Tract 2708.01, Baltimore city,1221,270,288,126,112,66,400,389,11
24045010800,Census Tract 108, Wicomico County,1272,329,337,142,35,40,372,582,-210
24510150400,Census Tract 1504, Baltimore city,1261,305,796,218,19,24,815,896,-81
24047951400,Census Tract 9514, Worcester County,578,114,83,62,10,17,93,166,-73
24005490302,Census Tract 4903.02, Baltimore County,2379,383,1929,341,116,62,2045,1949,96
24019970804,Census Tract 9708.04, Dorchester County,383,109,42,27,18,28,60,89,-29
24027606803,Census Tract 6068.03, Howard County,1285,288,111,63,110,82,221,559,-338
24031700308,Census Tract 7003.08, Montgomery County,1569,369,346,180,75,70,421,401,20
24510170300,Census Tract 1703, Baltimore city,501,154,120,82,54,47,174,112,62
24031700834,Census Tract 7008.34, Montgomery County,1340,225,183,84,56,41,239,558,-319
24043000500,Census Tract 5, Washington County,1805,388,270,212,46,72,316,289,27
24021751002,Census Tract 7510.02, Frederick County,1174,233,251,132,115,116,366,251,115
24021750504,Census Tract 7505.04, Frederick County,1328,409,260,146,95,111,355,554,-199
24033800109,Census Tract 8001.09, Prince George's County,833,253,152,92,43,35,195,200,-5
24033802106,Census Tract 8021.06, Prince George's County,1045,225,205,92,49,45,254,166,88
24510250401,Census Tract 2504.01, Baltimore city,920,297,179,106,46,73,225,204,21
24005420701,Census Tract 4207.01, Baltimore County,736,241,116,64,29,29,145,225,-80
24510160200,Census Tract 1602, Baltimore city,730,195,73,54,0,12,73,143,-70
24017990000,Census Tract 9900, Charles County,0,12,0,12,0,12,0,0,0
24005430200,Census Tract 4302, Baltimore County,690,147,152,91,10,15,162,312,-150
24510200500,Census Tract 2005, Baltimore city,516,183,36,35,0,12,36,50,-14
24031701102,Census Tract 7011.02, Montgomery County,1450,309,274,133,116,73,390,339,51
24005401505,Census Tract 4015.05, Baltimore County,963,163,266,109,89,64,355,294,61
24031705100,Census Tract 7051, Montgomery County,1282,129,75,34,87,42,162,158,4
24031700901,Census Tract 7009.01, Montgomery County,704,199,203,97,166,140,369,365,4
24003701200,Census Tract 7012, Anne Arundel County,1877,353,260,195,98,83,358,660,-302
24031700820,Census Tract 7008.20, Montgomery County,764,129,170,60,29,29,199,242,-43
24510272004,Census Tract 2720.04, Baltimore city,914,257,305,213,179,75,484,572,-88
24031703219,Census Tract 7032.19, Montgomery County,45,41,30,33,0,12,30,0,30
24033805500,Census Tract 8055, Prince George's County,842,236,83,53,50,54,133,246,-113
24033803002,Census Tract 8030.02, Prince George's County,689,179,62,62,66,62,128,90,38
24005430400,Census Tract 4304, Baltimore County,1127,208,346,134,83,40,429,407,22
24005403500,Census Tract 4035, Baltimore County,1511,143,156,61,163,66,319,293,26
24031700718,Census Tract 7007.18, Montgomery County,1158,247,418,185,196,92,614,356,258
24510270102,Census Tract 2701.02, Baltimore city,676,211,112,87,94,69,206,212,-6
24005492401,Census Tract 4924.01, Baltimore County,917,129,141,80,42,28,183,310,-127
24033804700,Census Tract 8047, Prince George's County,794,195,288,106,87,72,375,215,160
24003730603,Census Tract 7306.03, Anne Arundel County,944,178,156,61,10,17,166,218,-52
24003740303,Census Tract 7403.03, Anne Arundel County,927,138,178,71,33,34,211,232,-21
24005404501,Census Tract 4045.01, Baltimore County,1829,239,230,132,121,92,351,558,-207
24510260301,Census Tract 2603.01, Baltimore city,1301,367,181,101,0,12,181,199,-18
24033803524,Census Tract 8035.24, Prince George's County,1523,279,157,79,111,80,268,360,-92
24003730506,Census Tract 7305.06, Anne Arundel County,714,241,71,58,21,28,92,486,-394
24510230200,Census Tract 2302, Baltimore city,314,146,87,97,143,105,230,201,29
24510261100,Census Tract 2611, Baltimore city,201,57,31,15,110,49,141,167,-26
24510060400,Census Tract 604, Baltimore city,464,133,51,40,248,90,299,168,131
24031706012,Census Tract 7060.12, Montgomery County,623,156,81,40,69,45,150,178,-28
24031704803,Census Tract 7048.03, Montgomery County,845,188,77,76,295,125,372,301,71
24510090800,Census Tract 908, Baltimore city,469,181,78,53,21,32,99,136,-37
24005401101,Census Tract 4011.01, Baltimore County,1401,442,556,185,110,92,666,730,-64
24027606705,Census Tract 6067.05, Howard County,461,75,127,48,42,25,169,199,-30
24510200400,Census Tract 2004, Baltimore city,374,100,17,20,0,12,17,54,-37
24021750100,Census Tract 7501, Frederick County,192,57,26,24,36,26,62,81,-19
24027602303,Census Tract 6023.03, Howard County,1013,99,106,59,33,29,139,213,-74
24005402505,Census Tract 4025.05, Baltimore County,916,238,244,121,21,27,265,189,76
24033803612,Census Tract 8036.12, Prince George's County,872,220,226,164,39,38,265,267,-2
24005440702,Census Tract 4407.02, Baltimore County,1245,469,371,254,66,70,437,459,-22
24033800402,Census Tract 8004.02, Prince George's County,1035,158,175,95,99,52,274,311,-37
24510070100,Census Tract 701, Baltimore city,756,185,22,23,44,42,66,140,-74
24510271102,Census Tract 2711.02, Baltimore city,3738,490,3333,493,120,60,3453,3327,126
24510160500,Census Tract 1605, Baltimore city,858,239,136,75,0,12,136,221,-85
24005441102,Census Tract 4411.02, Baltimore County,1120,258,290,133,16,24,306,398,-92
24005403100,Census Tract 4031, Baltimore County,439,92,75,48,32,30,107,96,11
24005491300,Census Tract 4913, Baltimore County,1171,213,566,193,104,69,670,735,-65
24003730300,Census Tract 7303, Anne Arundel County,913,230,194,92,23,29,217,252,-35
24031701601,Census Tract 7016.01, Montgomery County,707,151,191,104,51,36,242,286,-44
24033802600,Census Tract 8026, Prince George's County,732,198,122,63,21,20,143,98,45
24021750801,Census Tract 7508.01, Frederick County,660,127,191,113,83,60,274,375,-101
24033800412,Census Tract 8004.12, Prince George's County,1153,208,243,205,71,43,314,307,7
24005408503,Census Tract 4085.03, Baltimore County,882,183,169,106,31,28,200,302,-102
24510280200,Census Tract 2802, Baltimore city,1168,276,361,157,139,99,500,305,195
24001000700,Census Tract 7, Allegany County,861,245,175,92,27,38,202,144,58
24025301105,Census Tract 3011.05, Harford County,948,154,173,82,85,73,258,415,-157
24033804801,Census Tract 8048.01, Prince George's County,533,190,120,108,71,50,191,321,-130
24033801802,Census Tract 8018.02, Prince George's County,708,236,130,91,28,28,158,204,-46
24510060200,Census Tract 602, Baltimore city,681,190,83,49,51,40,134,221,-87
24017850901,Census Tract 8509.01, Charles County,1395,234,166,100,73,71,239,237,2
24510200300,Census Tract 2003, Baltimore city,282,123,25,28,0,12,25,43,-18
24003750102,Census Tract 7501.02, Anne Arundel County,616,165,87,45,0,12,87,86,1
24003750300,Census Tract 7503, Anne Arundel County,777,291,206,109,37,41,243,186,57
24043000200,Census Tract 2, Washington County,851,166,199,89,62,42,261,193,68
24047951200,Census Tract 9512, Worcester County,959,281,272,126,29,32,301,128,173
24510130803,Census Tract 1308.03, Baltimore city,557,156,154,86,134,97,288,155,133
24005420500,Census Tract 4205, Baltimore County,538,144,82,52,83,66,165,189,-24
24510190100,Census Tract 1901, Baltimore city,589,192,15,12,8,9,23,71,-48
24005411303,Census Tract 4113.03, Baltimore County,1379,421,365,161,90,67,455,409,46
24510120700,Census Tract 1207, Baltimore city,408,143,97,61,94,43,191,365,-174
24510270402,Census Tract 2704.02, Baltimore city,1092,270,172,105,17,20,189,225,-36
24039930102,Census Tract 9301.02, Somerset County,685,186,163,104,14,22,177,114,63
24039930200,Census Tract 9302, Somerset County,226,71,42,32,7,10,49,34,15
24031700832,Census Tract 7008.32, Montgomery County,1099,154,224,69,44,27,268,195,73
24033805802,Census Tract 8058.02, Prince George's County,967,182,93,53,39,30,132,221,-89
24031701418,Census Tract 7014.18, Montgomery County,1228,189,271,113,81,54,352,318,34
24510260900,Census Tract 2609, Baltimore city,591,221,25,22,267,141,292,136,156
24510150300,Census Tract 1503, Baltimore city,332,139,99,72,0,12,99,131,-32
24043000100,Census Tract 1, Washington County,856,169,91,59,20,23,111,108,3
24510260403,Census Tract 2604.03, Baltimore city,463,191,19,23,0,12,19,159,-140
24510260604,Census Tract 2606.04, Baltimore city,606,145,92,63,24,26,116,70,46
24005490605,Census Tract 4906.05, Baltimore County,5002,598,4922,601,19,23,4941,4715,226
24510200702,Census Tract 2007.02, Baltimore city,286,184,67,79,6,10,73,51,22
24510080302,Census Tract 803.02, Baltimore city,763,208,29,33,62,61,91,37,54
24003730402,Census Tract 7304.02, Anne Arundel County,1019,295,187,114,131,99,318,218,100
24003730502,Census Tract 7305.02, Anne Arundel County,1852,413,372,164,90,83,462,558,-96
24005490601,Census Tract 4906.01, Baltimore County,641,88,46,33,51,34,97,108,-11
24033803523,Census Tract 8035.23, Prince George's County,913,207,294,118,75,36,369,509,-140
24510260101,Census Tract 2601.01, Baltimore city,1377,351,178,85,114,61,292,463,-171
24510270502,Census Tract 2705.02, Baltimore city,911,195,143,68,64,34,207,260,-53
24031703206,Census Tract 7032.06, Montgomery County,718,209,178,84,38,31,216,355,-139
24033807409,Census Tract 8074.09, Prince George's County,1238,183,266,105,55,49,321,286,35
24510240300,Census Tract 2403, Baltimore city,266,101,6,11,100,49,106,179,-73
24005401301,Census Tract 4013.01, Baltimore County,1046,208,181,104,95,76,276,374,-98
24510270701,Census Tract 2707.01, Baltimore city,559,172,239,114,65,47,304,434,-130
24510190200,Census Tract 1902, Baltimore city,343,161,53,46,30,37,83,133,-50
24033801804,Census Tract 8018.04, Prince George's County,349,107,40,29,12,20,52,68,-16
24031704806,Census Tract 7048.06, Montgomery County,541,145,129,62,206,83,335,203,132
24510200100,Census Tract 2001, Baltimore city,455,148,54,37,21,32,75,104,-29
24510110100,Census Tract 1101, Baltimore city,1022,219,270,148,713,194,983,1065,-82
24005441000,Census Tract 4410, Baltimore County,1348,289,182,87,106,68,288,192,96
24005491202,Census Tract 4912.02, Baltimore County,402,70,117,39,26,17,143,161,-18
24039930300,Census Tract 9303, Somerset County,502,108,173,54,8,14,181,72,109
24005421000,Census Tract 4210, Baltimore County,425,89,61,55,6,11,67,91,-24
24510271001,Census Tract 2710.01, Baltimore city,644,137,132,69,32,22,164,228,-64
24033800106,Census Tract 8001.06, Prince George's County,643,171,96,62,76,43,172,241,-69
24510260203,Census Tract 2602.03, Baltimore city,949,205,160,93,51,47,211,82,129
24005401302,Census Tract 4013.02, Baltimore County,611,148,166,82,25,41,191,111,80
24017850801,Census Tract 8508.01, Charles County,1025,227,165,84,40,32,205,337,-132
24510260401,Census Tract 2604.01, Baltimore city,1230,451,138,88,0,12,138,85,53
24013509002,Census Tract 5090.02, Carroll County,658,142,166,76,85,63,251,291,-40
24005400701,Census Tract 4007.01, Baltimore County,875,164,212,106,118,71,330,367,-37
24005411307,Census Tract 4113.07, Baltimore County,994,168,314,88,57,35,371,465,-94
24033800511,Census Tract 8005.11, Prince George's County,1131,242,224,112,138,66,362,511,-149
24510150200,Census Tract 1502, Baltimore city,609,215,106,85,10,16,116,147,-31
24025306500,Census Tract 3065, Harford County,1117,295,330,235,96,50,426,454,-28
24510060300,Census Tract 603, Baltimore city,389,90,34,24,80,48,114,227,-113
24031700904,Census Tract 7009.04, Montgomery County,817,216,190,107,101,71,291,158,133
24005403202,Census Tract 4032.02, Baltimore County,582,149,160,89,43,32,203,291,-88
24031701421,Census Tract 7014.21, Montgomery County,495,103,174,59,62,35,236,228,8
24031700822,Census Tract 7008.22, Montgomery County,506,115,151,78,27,24,178,81,97
24003702209,Census Tract 7022.09, Anne Arundel County,1420,144,218,85,101,66,319,462,-143
24031701202,Census Tract 7012.02, Montgomery County,672,84,58,29,47,40,105,192,-87
24033803803,Census Tract 8038.03, Prince George's County,1600,284,258,118,0,17,258,369,-111
24005430900,Census Tract 4309, Baltimore County,975,288,293,185,163,123,456,822,-366
24031704600,Census Tract 7046, Montgomery County,1227,177,81,59,25,29,106,333,-227
24005440701,Census Tract 4407.01, Baltimore County,1338,366,387,168,150,85,537,639,-102
24005420303,Census Tract 4203.03, Baltimore County,285,110,140,62,9,13,149,73,76
24005408703,Census Tract 4087.03, Baltimore County,1569,193,244,116,164,89,408,395,13
24001000100,Census Tract 1, Allegany County,703,143,162,77,0,12,162,80,82
24005401000,Census Tract 4010, Baltimore County,497,86,80,50,26,21,106,118,-12
24031701508,Census Tract 7015.08, Montgomery County,1100,268,269,130,103,59,372,464,-92
24025303900,Census Tract 3039, Harford County,626,90,130,54,35,24,165,157,8
24510260800,Census Tract 2608, Baltimore city,389,180,34,37,68,73,102,122,-20
24003701102,Census Tract 7011.02, Anne Arundel County,1426,267,312,164,178,113,490,310,180
24005400100,Census Tract 4001, Baltimore County,553,260,284,228,33,46,317,217,100
24005421102,Census Tract 4211.02, Baltimore County,634,154,94,63,16,17,110,99,11
24031701417,Census Tract 7014.17, Montgomery County,1693,407,401,203,287,135,688,829,-141
24043000301,Census Tract 3.01, Washington County,627,187,50,35,47,48,97,132,-35
24031700723,Census Tract 7007.23, Montgomery County,462,133,107,75,51,56,158,158,0
24005430101,Census Tract 4301.01, Baltimore County,1347,217,195,103,80,70,275,362,-87
24019970702,Census Tract 9707.02, Dorchester County,589,122,141,56,34,40,175,133,42
24003740203,Census Tract 7402.03, Anne Arundel County,1606,230,356,144,99,66,455,418,37
24510260302,Census Tract 2603.02, Baltimore city,1851,532,329,220,169,120,498,658,-160
24027606606,Census Tract 6066.06, Howard County,1450,312,548,186,71,55,619,398,221
24033803607,Census Tract 8036.07, Prince George's County,917,232,233,118,39,43,272,284,-12
24013507801,Census Tract 5078.01, Carroll County,1536,228,264,126,89,73,353,320,33
24031703701,Census Tract 7037.01, Montgomery County,1130,230,270,107,22,36,292,314,-22
24005402303,Census Tract 4023.03, Baltimore County,1353,323,388,169,184,132,572,611,-39
24510210200,Census Tract 2102, Baltimore city,683,248,73,60,79,51,152,344,-192
24021750506,Census Tract 7505.06, Frederick County,1310,269,286,145,77,43,363,301,62
24031701206,Census Tract 7012.06, Montgomery County,1975,259,286,125,76,57,362,295,67
24510090500,Census Tract 905, Baltimore city,384,132,60,39,14,17,74,103,-29
24510080301,Census Tract 803.01, Baltimore city,373,129,43,39,54,42,97,115,-18
24005450800,Census Tract 4508, Baltimore County,1021,230,131,97,12,19,143,107,36
24021765100,Census Tract 7651, Frederick County,881,159,142,95,107,87,249,275,-26
24017850710,Census Tract 8507.10, Charles County,1885,250,535,172,84,61,619,558,61
24033801805,Census Tract 8018.05, Prince George's County,268,133,41,40,23,29,64,117,-53
24023000400,Census Tract 4, Garrett County,539,113,94,72,15,20,109,254,-145
24005980200,Census Tract 9802, Baltimore County,0,12,0,12,0,12,0,0,0
24033801702,Census Tract 8017.02, Prince George's County,1027,204,217,104,19,22,236,306,-70
24510270301,Census Tract 2703.01, Baltimore city,721,204,86,59,68,53,154,301,-147
24033803516,Census Tract 8035.16, Prince George's County,1201,234,278,119,144,108,422,674,-252
24005402406,Census Tract 4024.06, Baltimore County,1585,345,420,197,106,90,526,897,-371
24005491401,Census Tract 4914.01, Baltimore County,1720,430,479,208,74,95,553,659,-106
