GEOID,NAME,ttl_ppE,ttl_ppM,ttl_nrE,ttl_nrM,undrg_E,undrg_M,grd_ppE,grd_ppM,totalenrol,fpl_total2019,Percent_2019
24031700310,"Census Tract 7003.10, Montgomery County, Maryland",6294,480,1439,346,413,165,106,87,519,57,10.98265896
24047950000,"Census Tract 9500, Worcester County, Maryland",1648,325,131,103,63,61,0,12,63,1,1.587301587
24005408601,"Census Tract 4086.01, Baltimore County, Maryland",3985,193,1067,133,156,63,44,37,200,0,0
24005490703,"Census Tract 4907.03, Baltimore County, Maryland",2961,305,829,207,144,78,129,88,273,113,41.39194139
24033806602,"Census Tract 8066.02, Prince George's County, Maryland",5225,514,1380,289,96,77,82,59,178,18,10.11235955
24510260202,"Census Tract 2602.02, Baltimore city, Maryland",5439,569,1298,382,184,126,30,52,214,37,17.28971963
24005430104,"Census Tract 4301.04, Baltimore County, Maryland",2749,284,416,124,106,51,28,34,134,16,11.94029851
24510150100,"Census Tract 1501, Baltimore city, Maryland",2101,372,431,182,57,55,9,16,66,21,31.81818182
24510250303,"Census Tract 2503.03, Baltimore city, Maryland",2112,263,389,144,44,29,0,12,44,4,9.090909091
24510180100,"Census Tract 1801, Baltimore city, Maryland",2053,265,740,213,113,74,0,12,113,66,58.40707965
24031701422,"Census Tract 7014.22, Montgomery County, Maryland",2707,272,1114,212,263,111,102,64,365,50,13.69863014
24043000400,"Census Tract 4, Washington County, Maryland",1755,249,299,76,81,44,0,12,81,42,51.85185185
24510020300,"Census Tract 203, Baltimore city, Maryland",3655,396,377,140,81,55,188,92,269,49,18.21561338
24005491000,"Census Tract 4910, Baltimore County, Maryland",2252,127,707,83,45,28,33,21,78,0,0
24510250402,"Census Tract 2504.02, Baltimore city, Maryland",4484,451,1358,307,114,89,5,9,119,16,13.44537815
24003750203,"Census Tract 7502.03, Anne Arundel County, Maryland",1328,112,350,77,52,36,0,12,52,0,0
24031701218,"Census Tract 7012.18, Montgomery County, Maryland",3109,334,402,139,74,53,51,32,125,51,40.8
24005404102,"Census Tract 4041.02, Baltimore County, Maryland",5805,560,1055,276,89,78,53,64,142,0,0
24005452500,"Census Tract 4525, Baltimore County, Maryland",3850,304,1110,255,253,140,33,30,286,0,0
24510150600,"Census Tract 1506, Baltimore city, Maryland",2685,482,761,358,242,171,39,40,281,133,47.33096085
24033806708,"Census Tract 8067.08, Prince George's County, Maryland",4287,372,1044,238,113,80,187,103,300,12,4
24031703302,"Census Tract 7033.02, Montgomery County, Maryland",3980,377,1000,203,256,131,21,25,277,0,0
24005408800,"Census Tract 4088, Baltimore County, Maryland",2452,220,681,138,51,37,66,46,117,18,15.38461538
24005450400,"Census Tract 4504, Baltimore County, Maryland",2262,167,445,88,73,37,9,13,82,11,13.41463415
24510260102,"Census Tract 2601.02, Baltimore city, Maryland",4660,420,1221,263,188,121,81,81,269,0,0
24033802107,"Census Tract 8021.07, Prince George's County, Maryland",3626,352,1028,196,148,71,45,33,193,0,0
24510151100,"Census Tract 1511, Baltimore city, Maryland",7344,1165,2062,742,686,301,49,56,735,57,7.755102041
24031701210,"Census Tract 7012.10, Montgomery County, Maryland",3972,192,1126,145,138,89,17,17,155,15,9.677419355
24510270703,"Census Tract 2707.03, Baltimore city, Maryland",2895,281,573,206,132,121,46,35,178,22,12.35955056
24510130804,"Census Tract 1308.04, Baltimore city, Maryland",1968,149,353,103,66,35,86,37,152,28,18.42105263
24510250102,"Census Tract 2501.02, Baltimore city, Maryland",2607,378,682,225,169,119,90,85,259,38,14.67181467
24031705901,"Census Tract 7059.01, Montgomery County, Maryland",4382,330,1220,213,58,37,35,27,93,0,0
24510120100,"Census Tract 1201, Baltimore city, Maryland",4677,498,1512,463,516,236,588,262,1104,567,51.35869565
24510250205,"Census Tract 2502.05, Baltimore city, Maryland",3782,475,1125,368,73,65,43,42,116,10,8.620689655
24033803402,"Census Tract 8034.02, Prince George's County, Maryland",3818,365,1078,308,196,95,18,20,214,24,11.21495327
24510151000,"Census Tract 1510, Baltimore city, Maryland",4635,589,851,269,181,108,92,97,273,16,5.860805861
24005420200,"Census Tract 4202, Baltimore County, Maryland",2870,220,566,152,121,72,25,24,146,0,0
24031704805,"Census Tract 7048.05, Montgomery County, Maryland",2107,214,357,101,53,31,109,56,162,37,22.83950617
24510180300,"Census Tract 1803, Baltimore city, Maryland",1677,212,362,80,51,39,152,47,203,68,33.49753695
24033800520,"Census Tract 8005.20, Prince George's County, Maryland",1977,261,516,180,171,62,78,53,249,0,0
24005400900,"Census Tract 4009, Baltimore County, Maryland",1872,216,479,114,27,21,15,18,42,0,0
24510170200,"Census Tract 1702, Baltimore city, Maryland",2613,420,930,271,77,55,7,11,84,84,100
24510140300,"Census Tract 1403, Baltimore city, Maryland",1912,251,441,187,109,63,17,14,126,7,5.555555556
24027605504,"Census Tract 6055.04, Howard County, Maryland",2588,138,892,110,183,88,75,46,258,0,0
24033800210,"Census Tract 8002.10, Prince George's County, Maryland",2887,348,800,235,153,104,77,53,230,0,0
24017850905,"Census Tract 8509.05, Charles County, Maryland",4303,267,1287,192,387,141,126,62,513,15,2.923976608
24031700706,"Census Tract 7007.06, Montgomery County, Maryland",4303,281,1082,160,121,62,108,72,229,28,12.22707424
24510270101,"Census Tract 2701.01, Baltimore city, Maryland",1616,222,468,163,14,19,87,81,101,56,55.44554455
24031701005,"Census Tract 7010.05, Montgomery County, Maryland",3193,222,708,129,96,50,35,29,131,0,0
24019970900,"Census Tract 9709, Dorchester County, Maryland",1176,119,135,46,23,21,0,12,23,0,0
24031701001,"Census Tract 7010.01, Montgomery County, Maryland",5483,576,1105,325,297,174,7,10,304,38,12.5
24510080400,"Census Tract 804, Baltimore city, Maryland",1205,297,206,102,12,17,12,17,24,0,0
24510260303,"Census Tract 2603.03, Baltimore city, Maryland",937,144,213,87,45,39,7,10,52,24,46.15384615
24031702800,"Census Tract 7028, Montgomery County, Maryland",5277,383,1159,218,228,110,259,154,487,102,20.94455852
24033801211,"Census Tract 8012.11, Prince George's County, Maryland",3216,362,750,315,85,53,45,52,130,0,0
24033801307,"Census Tract 8013.07, Prince George's County, Maryland",3836,327,641,144,147,74,67,39,214,15,7.009345794
24033803001,"Census Tract 8030.01, Prince George's County, Maryland",2774,334,471,181,126,66,60,51,186,5,2.688172043
24005411408,"Census Tract 4114.08, Baltimore County, Maryland",3590,187,877,175,142,76,132,65,274,52,18.97810219
24005980100,"Census Tract 9801, Baltimore County, Maryland",0,12,0,12,0,12,0,12,0,0,#DIV/0!
24510280402,"Census Tract 2804.02, Baltimore city, Maryland",1563,243,367,123,77,56,14,15,91,39,42.85714286
24031700828,"Census Tract 7008.28, Montgomery County, Maryland",2130,103,584,75,101,44,36,23,137,32,23.35766423
24005420800,"Census Tract 4208, Baltimore County, Maryland",2940,276,601,178,78,49,25,28,103,15,14.5631068
24003730204,"Census Tract 7302.04, Anne Arundel County, Maryland",6295,517,1860,331,199,90,52,44,251,22,8.764940239
24047950600,"Census Tract 9506, Worcester County, Maryland",3028,234,460,96,90,76,18,20,108,8,7.407407407
24027606607,"Census Tract 6066.07, Howard County, Maryland",4609,331,1372,230,210,98,119,67,329,0,0
24510020100,"Census Tract 201, Baltimore city, Maryland",1565,168,218,54,37,23,94,46,131,17,12.97709924
24001001402,"Census Tract 14.02, Allegany County, Maryland",1491,108,234,57,36,25,0,12,36,12,33.33333333
24005490200,"Census Tract 4902, Baltimore County, Maryland",2734,198,711,152,113,51,25,31,138,6,4.347826087
24033805906,"Census Tract 8059.06, Prince George's County, Maryland",3416,362,974,222,156,90,80,55,236,79,33.47457627
24510271101,"Census Tract 2711.01, Baltimore city, Maryland",1865,144,540,138,219,123,90,48,309,135,43.68932039
24510160100,"Census Tract 1601, Baltimore city, Maryland",1921,398,515,241,40,63,13,21,53,0,0
24033806501,"Census Tract 8065.01, Prince George's County, Maryland",5127,271,1434,250,180,92,61,48,241,11,4.564315353
24510230100,"Census Tract 2301, Baltimore city, Maryland",1821,233,416,130,38,34,114,64,152,38,25
24031704503,"Census Tract 7045.03, Montgomery County, Maryland",3905,194,1216,159,114,59,22,27,136,0,0
24033805908,"Census Tract 8059.08, Prince George's County, Maryland",2045,248,573,139,150,62,76,41,226,27,11.94690265
24047950400,"Census Tract 9504, Worcester County, Maryland",2763,240,705,113,93,55,20,22,113,13,11.50442478
24047980000,"Census Tract 9800, Worcester County, Maryland",0,12,0,12,0,12,0,12,0,0,#DIV/0!
24005490603,"Census Tract 4906.03, Baltimore County, Maryland",2215,147,609,93,127,50,19,22,146,66,45.20547945
