GEOID,Census Tract,County,ttl_nrE,ttl_nrM,undrg_E,undrg_M,grd_ppE,grd_ppM,totalenrol,fpl_total2,Percent_20,fpl_tota_1,Percent__1,difference
24003702209,Census Tract 7022.09, Anne Arundel County,1529,198,387,116,75,47,462,94,20.34632035,11,3.448275862,-16.898
24003706302,Census Tract 7063.02, Anne Arundel County,397,116,95,67,85,55,180,40,22.22222222,7,4,-18.222
24003740900,Census Tract 7409, Anne Arundel County,2202,317,569,155,97,72,666,25,3.753753754,67,12.47672253,8.723
24003750102,Census Tract 7501.02, Anne Arundel County,567,150,56,28,30,30,86,9,10.46511628,0,0,-10.465
24003751000,Census Tract 7510, Anne Arundel County,944,185,226,90,49,38,275,17,6.181818182,9,6.766917293,0.585
24005400900,Census Tract 4009, Baltimore County,599,106,105,55,20,17,125,3,2.4,0,0,-2.4
24005402305,Census Tract 4023.05, Baltimore County,753,148,170,73,50,36,220,95,43.18181818,16,10.45751634,-32.724
24005403201,Census Tract 4032.01, Baltimore County,653,174,167,79,98,66,265,3,1.132075472,10,4.975124378,3.843
24005404403,Census Tract 4044.03, Baltimore County,1499,332,416,153,173,98,589,102,17.31748727,86,29.5532646,12.236
24005420302,Census Tract 4203.02, Baltimore County,624,130,83,48,16,14,99,5,5.050505051,9,5.487804878,0.437
24005421000,Census Tract 4210, Baltimore County,358,81,66,42,25,28,91,8,8.791208791,18,26.86567164,18.074
24005430900,Census Tract 4309, Baltimore County,1709,464,517,259,305,183,822,148,18.00486618,187,41.00877193,23.004
24005441101,Census Tract 4411.01, Baltimore County,395,88,138,44,7,10,145,13,8.965517241,11,8.59375,-0.372
24005451401,Census Tract 4514.01, Baltimore County,1299,266,264,102,87,86,351,0,0,72,14.66395112,14.664
24005452500,Census Tract 4525, Baltimore County,899,186,137,75,41,34,178,0,0,0,0,0
24005490703,Census Tract 4907.03, Baltimore County,852,156,184,115,177,102,361,118,32.68698061,113,41.39194139,8.705
24005491900,Census Tract 4919, Baltimore County,362,99,47,37,74,52,121,13,10.74380165,0,0,-10.744
24013504100,Census Tract 5041, Carroll County,1227,192,272,106,42,31,314,0,0,0,0,0
24013507703,Census Tract 5077.03, Carroll County,768,139,216,101,49,45,265,33,12.45283019,9,5.172413793,-7.28
24015030506,Census Tract 305.06, Cecil County,2367,395,584,200,220,143,804,109,13.55721393,77,11.9379845,-1.619
24017850901,Census Tract 8509.01, Charles County,1416,247,213,104,24,36,237,16,6.751054852,19,7.949790795,1.199
24017851500,Census Tract 8515, Charles County,2771,345,702,235,107,96,809,27,3.337453646,31,3.69047619,0.353
24019970702,Census Tract 9707.02, Dorchester County,717,195,109,58,24,23,133,5,3.759398496,2,1.142857143,-2.617
24021750801,Census Tract 7508.01, Frederick County,812,214,260,156,115,70,375,108,28.8,27,9.854014599,-18.946
24021751902,Census Tract 7519.02, Frederick County,1886,218,186,109,98,67,284,0,0,13,3.746397695,3.746
